                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3264,                0.56409,                 1.0423,                0.99142,                0.99447,                0.99368,                0.57493,                 1.5486,                0.52885,                 1.3426,               0.008878,               0.008878,               0.008878
                     36,                 1.3492,                0.57386,                 1.0507,                0.98973,                0.98623,                0.99381,                0.58842,                 1.5127,                0.51846,                 1.3249,               0.008845,               0.008845,               0.008845
                     37,                 1.3215,                0.56514,                 1.0448,                0.99313,                0.99476,                0.99439,                0.59422,                 1.4792,                 0.5148,                 1.3151,               0.008812,               0.008812,               0.008812
                     38,                 1.3327,                0.56378,                 1.0451,                 0.9913,                0.99139,                0.99367,                 0.5928,                 1.5124,                  0.514,                 1.3297,               0.008779,               0.008779,               0.008779
                     39,                 1.3171,                 0.5525,                 1.0311,                0.99456,                0.99656,                 0.9936,                0.59218,                 1.5288,                0.51342,                 1.3483,               0.008746,               0.008746,               0.008746
                     40,                 1.3246,                0.56178,                 1.0478,                0.99731,                0.98967,                0.99477,                0.58627,                 1.5159,                 0.5011,                 1.3251,               0.008713,               0.008713,               0.008713
                     41,                 1.3156,                0.55823,                 1.0355,                0.99469,                0.98795,                0.99486,                0.58335,                 1.5083,                0.51366,                  1.328,                0.00868,                0.00868,                0.00868
                     42,                 1.3296,                0.56264,                 1.0318,                0.99827,                0.99453,                0.99498,                0.58282,                 1.5006,                0.49874,                 1.3257,               0.008647,               0.008647,               0.008647
                     43,                 1.3048,                0.55087,                 1.0307,                0.99758,                0.99484,                0.99476,                0.58378,                 1.5315,                0.50864,                 1.3415,               0.008614,               0.008614,               0.008614
                     44,                 1.3033,                0.55405,                 1.0345,                0.99981,                0.99656,                  0.995,                0.59731,                 1.4981,                0.49653,                 1.3261,               0.008581,               0.008581,               0.008581
                     45,                 1.3003,                0.54494,                 1.0311,                0.99794,                0.99484,                  0.995,                0.60665,                 1.4776,                0.48614,                 1.3071,               0.008548,               0.008548,               0.008548
                     46,                 1.2975,                0.54099,                 1.0331,                0.99286,                0.99312,                0.99311,                0.58034,                 1.5272,                0.49345,                 1.3316,               0.008515,               0.008515,               0.008515
                     47,                 1.2823,                0.54019,                 1.0287,                0.99654,                0.99243,                0.99495,                 0.5988,                 1.5007,                 0.4994,                 1.3212,               0.008482,               0.008482,               0.008482
                     48,                 1.3003,                0.54379,                 1.0288,                0.99144,                0.99619,                0.99493,                0.60592,                 1.4862,                0.48741,                 1.3068,               0.008449,               0.008449,               0.008449
                     49,                 1.2823,                0.53869,                 1.0242,                0.99289,                0.99656,                 0.9949,                0.59601,                  1.515,                0.48758,                 1.3308,               0.008416,               0.008416,               0.008416
                     50,                 1.2934,                0.54004,                 1.0309,                0.99167,                0.99312,                0.99484,                0.59949,                 1.4888,                0.48827,                 1.3147,               0.008383,               0.008383,               0.008383
                     51,                 1.2699,                0.52904,                 1.0191,                0.99407,                0.99656,                0.99431,                0.57377,                 1.5407,                0.50162,                 1.3438,                0.00835,                0.00835,                0.00835
                     52,                 1.2734,                0.53063,                 1.0271,                0.99291,                0.99312,                0.99419,                0.58378,                 1.5373,                0.49445,                  1.348,               0.008317,               0.008317,               0.008317
                     53,                 1.2749,                0.53702,                 1.0184,                0.99311,                0.99283,                0.99445,                0.60194,                  1.495,                0.48767,                 1.3289,               0.008284,               0.008284,               0.008284
                     54,                 1.2844,                0.53419,                 1.0227,                0.99603,                0.99656,                0.99498,                0.60254,                   1.49,                0.49602,                  1.326,               0.008251,               0.008251,               0.008251
                     55,                 1.2577,                0.52073,                 1.0145,                0.99827,                0.99457,                0.99498,                0.59269,                 1.5045,                0.48246,                 1.3363,               0.008218,               0.008218,               0.008218
                     56,                  1.268,                0.52618,                 1.0183,                 0.9922,                0.99312,                0.99425,                0.59473,                  1.497,                0.48744,                  1.316,               0.008185,               0.008185,               0.008185
                     57,                 1.2507,                0.51951,                 1.0134,                0.99481,                0.99062,                0.99463,                0.60944,                 1.5115,                0.48633,                 1.3497,               0.008152,               0.008152,               0.008152
                     58,                 1.2707,                0.52423,                 1.0222,                 0.9906,                0.99312,                0.99408,                0.58404,                 1.4863,                0.48687,                 1.3172,               0.008119,               0.008119,               0.008119
                     59,                 1.2482,                0.52527,                  1.002,                0.99828,                0.99645,                0.99479,                0.60841,                  1.487,                0.49107,                 1.3252,               0.008086,               0.008086,               0.008086
                     60,                 1.2525,                0.51443,                 1.0212,                0.99464,                0.99484,                0.99484,                0.59711,                   1.49,                0.47206,                 1.3227,               0.008053,               0.008053,               0.008053
                     61,                 1.2599,                0.51712,                 1.0198,                0.99724,                0.99484,                0.99479,                0.59372,                 1.5189,                0.48885,                 1.3281,                0.00802,                0.00802,                0.00802
                     62,                 1.2576,                0.51595,                 1.0178,                0.99381,                0.99484,                0.99475,                0.60255,                 1.4952,                0.47887,                 1.3219,               0.007987,               0.007987,               0.007987
                     63,                 1.2513,                0.51296,                 1.0106,                0.99289,                0.99484,                0.99431,                0.61107,                 1.4926,                0.48299,                 1.3268,               0.007954,               0.007954,               0.007954
                     64,                  1.239,                0.51516,                 1.0108,                0.99656,                0.99606,                 0.9949,                  0.593,                 1.5369,                0.48552,                 1.3575,               0.007921,               0.007921,               0.007921
                     65,                 1.2334,                0.51279,                 1.0108,                0.99458,                0.99312,                0.99446,                0.58953,                 1.5368,                0.47799,                  1.353,               0.007888,               0.007888,               0.007888
                     66,                 1.2419,                 0.5147,                 1.0162,                0.99771,                0.99656,                0.99471,                0.60349,                 1.4906,                0.47069,                 1.3226,               0.007855,               0.007855,               0.007855
                     67,                 1.2424,                0.52326,                 1.0071,                0.99614,                0.99312,                0.99497,                0.61153,                 1.5044,                0.47971,                 1.3457,               0.007822,               0.007822,               0.007822
                     68,                 1.2203,                0.51071,                 1.0096,                0.99656,                0.99625,                 0.9949,                0.59571,                 1.5301,                0.48188,                 1.3403,               0.007789,               0.007789,               0.007789
                     69,                 1.2415,                0.51261,                 1.0138,                0.99816,                0.99656,                0.99476,                0.59658,                 1.5219,                 0.4768,                 1.3577,               0.007756,               0.007756,               0.007756
                     70,                 1.2313,                0.51114,                 1.0044,                0.99294,                0.99139,                0.99408,                0.58759,                 1.5112,                0.46798,                 1.3415,               0.007723,               0.007723,               0.007723
                     71,                 1.2487,                0.50392,                  1.015,                0.99631,                0.99656,                0.99466,                0.57402,                 1.5317,                0.47706,                 1.3741,                0.00769,                0.00769,                0.00769
                     72,                  1.218,                0.50475,                0.99939,                0.99593,                0.99484,                0.99451,                 0.6107,                 1.4952,                0.46993,                 1.3221,               0.007657,               0.007657,               0.007657
                     73,                  1.217,                0.50363,                 1.0092,                0.99656,                0.99644,                0.99428,                0.59997,                 1.4918,                0.47072,                 1.3467,               0.007624,               0.007624,               0.007624
                     74,                 1.2314,                0.50703,                  1.007,                0.99467,                0.99312,                0.99463,                0.59523,                 1.5182,                0.47784,                 1.3463,               0.007591,               0.007591,               0.007591
                     75,                 1.2304,                0.50763,                 1.0062,                0.99656,                0.99625,                0.99491,                0.59839,                  1.523,                0.46967,                 1.3401,               0.007558,               0.007558,               0.007558
                     76,                 1.2056,                0.49849,                 1.0011,                0.99139,                0.99132,                0.99332,                0.59818,                 1.5158,                0.46434,                 1.3448,               0.007525,               0.007525,               0.007525
                     77,                 1.2358,                0.50426,                0.99636,                0.99484,                0.99644,                0.99432,                0.61015,                 1.5076,                0.46863,                 1.3443,               0.007492,               0.007492,               0.007492
                     78,                 1.1997,                0.49057,                0.99839,                0.99453,                0.99484,                0.99384,                0.59516,                 1.5316,                0.47014,                  1.348,               0.007459,               0.007459,               0.007459
                     79,                 1.2298,                 0.5027,                 1.0067,                0.98949,                0.99312,                0.99338,                0.60619,                 1.5004,                0.46587,                 1.3332,               0.007426,               0.007426,               0.007426
                     80,                 1.1987,                0.49166,                0.99632,                0.99446,                0.99312,                0.99412,                0.59849,                 1.5011,                 0.4685,                 1.3487,               0.007393,               0.007393,               0.007393
                     81,                 1.2095,                0.49175,                0.99637,                 0.9968,                0.99484,                0.99488,                0.59891,                 1.5346,                0.47407,                 1.3644,                0.00736,                0.00736,                0.00736
                     82,                 1.1985,                0.48944,                 1.0013,                0.99613,                0.99828,                 0.9949,                 0.5935,                 1.5081,                0.46654,                 1.3502,               0.007327,               0.007327,               0.007327
                     83,                 1.1944,                0.48969,                 1.0004,                0.99333,                0.99312,                0.99447,                0.60201,                 1.5216,                0.46155,                 1.3529,               0.007294,               0.007294,               0.007294
                     84,                 1.1926,                0.48561,                0.99751,                 0.9941,                0.99139,                0.99341,                0.60063,                 1.5491,                0.46915,                 1.3645,               0.007261,               0.007261,               0.007261
                     85,                  1.188,                0.49025,                0.99252,                0.99342,                0.99312,                0.99451,                0.59093,                 1.5489,                0.48034,                 1.3922,               0.007228,               0.007228,               0.007228
                     86,                 1.1882,                 0.4886,                0.99559,                0.99655,                0.99446,                0.99497,                0.58738,                 1.5309,                0.45876,                 1.3591,               0.007195,               0.007195,               0.007195
                     87,                  1.179,                0.48645,                0.99497,                0.99809,                0.99484,                0.99484,                0.60229,                 1.5237,                0.46256,                 1.3525,               0.007162,               0.007162,               0.007162
                     88,                 1.1819,                0.48162,                0.99202,                0.99583,                0.99484,                0.99457,                0.59625,                 1.5355,                0.46781,                 1.3694,               0.007129,               0.007129,               0.007129
                     89,                 1.1811,                0.48221,                0.99457,                0.99626,                0.99656,                0.99444,                0.59796,                  1.522,                0.45838,                 1.3514,               0.007096,               0.007096,               0.007096
